DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
22-Mar,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,KYAUK PHYU STAR V.001N,NYKSSM7AA7501500,JP,552.00,"E-TEC, ADHESIVE, SILICON SEALANT","12,063.02",661452.00
14-Mar,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,CAPE NABIL 034S,NYKSSM7AA7499700,JP,1816.00,"E-TEC, SILICON SEALANT","30,218.69",1651601.00
28-Mar,INTERNATIONAL FLAVORS AND FRAGRANCE,DSM FOOD SPECIALTIES,CALICANTO BRIDGE V.251N,SEMNL1803035905,DE,1280.00,EXPRESA 2200 GF POWDER,"9,795.20",522525.00
8-Mar,HILTI PHILIPPINES INC.,HILTI AG,COLOMBO EXPRESS,MNL215823,DE,917.00,FILLING FOAM,"6,301.86",345725.00
19-Mar,JANGHO GROUP CO LTD PHILIPPINE BRAN,GUANGZHOU JANGHO CURTAIN WALL,SINAR BRANI,CAMNZXE34557,CN,1230.00,FIREPROOF GLUE,"8,341.01",458487.00
14-Mar,FISCHER PH ASIA INC,FISCHERWERKE GMBH & CO KG,MARSTAL MAERSK MAE5237,STRMNLI00076,DE,9776.00,FIXING MATERIAL FIAM600 FIRESTOP AND ACOUSTI,"27,781.95",1523023.00
9-Mar,MCCORMICK PHILIPPINES INC,RUBECLAR INTERNATIONAL INC.,YM MOBILITY V. 031W,W160337098,US,273.00,"FRUTAROM PAPAIN PURIFIED POWDER S-100,","9,120.11",491084.00
1-Mar,OHGITANI PHILIPPINES INC.,OHGITANI CORPORATION,CALLAO BRIDGE 125S,KMN6360,JP,1907.00,FUJIMI OPTICAL EMERY MINUTE POWDER,"7,496.84",400716.00
12-Mar,3M PHILS. INC.,3M SHANGHAI SPECIALTY MATERIAL,ISAO 1804S,2021,CN,1600.00,GCLF 467MP 50 IN 2500M PRODU,"8,032.23",444501.00
7-Mar,SUCERE FOODS CORPORATION,ROUSSELOT (M) SDN BHD,NYK JOANNA,HDMUSGWB0538084,BR,20000.00,GELATIN 220 H 20,"132,520.00",7127295.00
7-Mar,MARKENBURG INTERNATIONAL FOODS CORP,ROUSSELOT SDN BHD,NYK JOANNA 064N,HDMUSGWB0538083,SG,20000.00,GELATIN 220 H 20,"112,190.00",6037652.00
20-Mar,GANDANG KALIKASAN INC.,"GANDANG KALIKSAN, INC. USA",OOCL HO CHI MINH CITY 021W,S00300405,US,200.00,GLUADIN,"8,884.04",468046.00
26-Mar,HOMEBASE TRADING & GEN MERCHANDISE,XIAMEN XINYUANCHANG IMPORT & EXPORT,HE SHENG 1811S,MCLPWET017217,CN,6000.00,GLUE,"10,357.52",545820.00
23-Mar,HOMEBASE TRADING & GEN MERCHANDISE,SHENZHEN LUYE EAST INDUSTRY CO LTD,MAGNAVIA 18006S,50525,CN,4500.00,GLUE,"9,235.10",487130.00
